2022-05-28 15:16:10,554 INFO  [org.apache.activemq.artemis.integration.bootstrap] AMQ101000: Starting ActiveMQ Artemis Server
2022-05-28 15:16:11,404 INFO  [org.apache.activemq.artemis.core.server] AMQ221000: live Message Broker is starting with configuration Broker Configuration (clustered=false,journalDirectory=data/journal,bindingsDirectory=data/bindings,largeMessagesDirectory=data/large-messages,pagingDirectory=data/paging)
2022-05-28 15:16:12,056 INFO  [org.apache.activemq.artemis.core.server] AMQ221013: Using NIO Journal
2022-05-28 15:16:12,940 INFO  [org.apache.activemq.artemis.core.server] AMQ221057: Global Max Size is being adjusted to 1/2 of the JVM max size (-Xmx). being defined as 1 073 741 824
2022-05-28 15:16:13,511 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-server]. Adding protocol support for: CORE
2022-05-28 15:16:13,529 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-amqp-protocol]. Adding protocol support for: AMQP
2022-05-28 15:16:13,544 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-hornetq-protocol]. Adding protocol support for: HORNETQ
2022-05-28 15:16:13,558 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-mqtt-protocol]. Adding protocol support for: MQTT
2022-05-28 15:16:13,561 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-openwire-protocol]. Adding protocol support for: OPENWIRE
2022-05-28 15:16:13,576 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-stomp-protocol]. Adding protocol support for: STOMP
2022-05-28 15:16:14,511 INFO  [org.apache.activemq.artemis.core.server] AMQ221034: Waiting indefinitely to obtain live lock
2022-05-28 15:16:14,512 INFO  [org.apache.activemq.artemis.core.server] AMQ221035: Live Server Obtained live lock
2022-05-28 15:16:18,284 INFO  [org.apache.activemq.artemis.core.server] AMQ221080: Deploying address DLQ supporting [ANYCAST]
2022-05-28 15:16:18,299 INFO  [org.apache.activemq.artemis.core.server] AMQ221003: Deploying ANYCAST queue DLQ on address DLQ
2022-05-28 15:16:18,420 INFO  [org.apache.activemq.artemis.core.server] AMQ221080: Deploying address ExpiryQueue supporting [ANYCAST]
2022-05-28 15:16:18,433 INFO  [org.apache.activemq.artemis.core.server] AMQ221003: Deploying ANYCAST queue ExpiryQueue on address ExpiryQueue
2022-05-28 15:16:18,435 INFO  [org.apache.activemq.artemis.core.server] AMQ221080: Deploying address Comptabilite supporting [ANYCAST]
2022-05-28 15:16:18,437 INFO  [org.apache.activemq.artemis.core.server] AMQ221003: Deploying ANYCAST queue Comptabilite on address Comptabilite
2022-05-28 15:16:24,144 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started KQUEUE Acceptor at 0.0.0.0:61616 for protocols [CORE,MQTT,AMQP,STOMP,HORNETQ,OPENWIRE]
2022-05-28 15:16:24,258 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started KQUEUE Acceptor at 0.0.0.0:5445 for protocols [HORNETQ,STOMP]
2022-05-28 15:16:24,376 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started KQUEUE Acceptor at 0.0.0.0:5672 for protocols [AMQP]
2022-05-28 15:16:24,497 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started KQUEUE Acceptor at 0.0.0.0:1883 for protocols [MQTT]
2022-05-28 15:16:24,614 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started KQUEUE Acceptor at 0.0.0.0:61613 for protocols [STOMP]
2022-05-28 15:16:24,660 INFO  [org.apache.activemq.artemis.core.server] AMQ221007: Server is now live
2022-05-28 15:16:24,661 INFO  [org.apache.activemq.artemis.core.server] AMQ221001: Apache ActiveMQ Artemis Message Broker version 2.22.0 [0.0.0.0, nodeID=60ff9c54-d92e-11ec-8afd-521bb3807c92] 
2022-05-28 15:16:27,720 INFO  [org.apache.activemq.hawtio.branding.PluginContextListener] Initialized activemq-branding plugin
2022-05-28 15:16:28,417 INFO  [org.apache.activemq.hawtio.plugin.PluginContextListener] Initialized artemis-plugin plugin
2022-05-28 15:16:34,178 INFO  [io.hawt.HawtioContextListener] Initialising hawtio services
2022-05-28 15:16:34,326 INFO  [io.hawt.system.ConfigManager] Configuration will be discovered via system properties
2022-05-28 15:16:34,346 INFO  [io.hawt.jmx.JmxTreeWatcher] Welcome to Hawtio 2.14.2
2022-05-28 15:16:34,459 INFO  [io.hawt.web.auth.AuthenticationConfiguration] Starting hawtio authentication filter, JAAS realm: "activemq" authorized role(s): "amq" role principal classes: "org.apache.activemq.artemis.spi.core.security.jaas.RolePrincipal"
2022-05-28 15:16:34,558 INFO  [io.hawt.web.auth.LoginRedirectFilter] Hawtio loginRedirectFilter is using 1800 sec. HttpSession timeout
2022-05-28 15:16:34,680 INFO  [io.hawt.web.proxy.ProxyServlet] Proxy servlet is disabled
2022-05-28 15:16:34,762 INFO  [io.hawt.web.servlets.JolokiaConfiguredAgentServlet] Jolokia overridden property: [key=policyLocation, value=file:/Users/tresor/Documents/CoursIBAM/apache-artemis-2.22.0/bin/../../register/etc/jolokia-access.xml]
2022-05-28 15:16:35,881 INFO  [org.apache.activemq.artemis] AMQ241001: HTTP Server started at http://localhost:8161
2022-05-28 15:16:35,882 INFO  [org.apache.activemq.artemis] AMQ241002: Artemis Jolokia REST API available at http://localhost:8161/console/jolokia
2022-05-28 15:16:35,883 INFO  [org.apache.activemq.artemis] AMQ241004: Artemis Console available at http://localhost:8161/console
2022-05-28 15:18:57,973 INFO  [io.hawt.web.auth.LoginServlet] Hawtio login is using 1800 sec. HttpSession timeout
2022-05-28 15:19:06,775 INFO  [io.hawt.web.auth.keycloak.KeycloakServlet] Keycloak integration is disabled
2022-05-28 15:19:20,327 INFO  [io.hawt.web.auth.LoginServlet] Logging in user: admin
2022-05-28 15:19:21,632 INFO  [io.hawt.web.auth.AuthSessionHelpers] Logging out existing user: admin
2022-05-28 15:19:22,883 INFO  [io.hawt.web.auth.LoginServlet] Logging in user: admin
2022-05-28 15:51:20,501 INFO  [io.hawt.web.auth.SessionExpiryFilter] Expiring session due to inactivity
2022-05-28 17:16:16,905 INFO  [io.hawt.web.auth.AuthenticationFilter] Destroying hawtio authentication filter
2022-05-28 17:16:16,939 INFO  [io.hawt.HawtioContextListener] Destroying hawtio services
2022-05-28 17:16:17,542 INFO  [org.apache.activemq.hawtio.plugin.PluginContextListener] Destroyed artemis-plugin plugin
2022-05-28 17:16:17,724 INFO  [org.apache.activemq.hawtio.branding.PluginContextListener] Destroyed activemq-branding plugin
2022-05-28 17:16:18,047 INFO  [org.apache.activemq.artemis.core.server] AMQ221002: Apache ActiveMQ Artemis Message Broker version 2.22.0 [60ff9c54-d92e-11ec-8afd-521bb3807c92] stopped, uptime 2 hours
